Country Name,Country Code,Series Name,Series Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Dominica,DMA,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,597730112.2,..,..,..,..,..
Dominican Republic,DOM,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,49307664283,50065660741,51938384151,50581334884,51956658054,58503517364,63811359832,67513095522,71187544299,75170156246,80336537589,83815844993,85407970317,87306608659,91939854778,97857549331,1.04E+11,1.08E+11,1.14E+11,1.20E+11,1.16E+11,1.23E+11,1.30E+11
Ecuador,ECU,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,57813964389,62138456120,66535511846,68532607677,72943246848,76172957334,79488066586,82856463970,87332482361,86467863520,93136651222,97913177442,1.01E+11,1.05E+11,1.08E+11,1.07E+11,1.05E+11,1.09E+11,1.11E+11,1.11E+11,1.02E+11,1.13E+11,1.18E+11
Egypt Arab Rep.,EGY,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,4.41E+11,4.58E+11,4.67E+11,4.78E+11,4.88E+11,5.12E+11,5.45E+11,5.83E+11,6.16E+11,6.51E+11,6.78E+11,7.15E+11,7.62E+11,7.87E+11,8.22E+11,8.47E+11,8.86E+11,9.23E+11,9.34E+11,9.49E+11,1.02E+12,1.08E+12,1.11E+12
El Salvador,SLV,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,30637352352,31045437764,31279172263,31524766394,32023346100,33318481745,34791876248,37262061316,37117135733,34688190488,35007575468,35557594047,36700155403,37977628296,37924144111,39036986649,39832545311,40468775776,41030173169,41731192826,38385582753,44565755471,45732595363
Equatorial Guinea,GNQ,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,..,..,..,..,..,3317743020,5570792682,6113910723,6758119159,6865278967,7440817970,7739489839,8265848737,9761652806,10123677443,10324094111,10605635414,10937031414,11308904522,11693408500,10766638502,10677096051,11697259943
Eritrea,ERI,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Estonia,EST,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,10036569377,10733876193,11770141479,12913302389,13963903556,15322407045,17295134279,18753272406,17903664022,15406714481,15211087001,15678151870,16362750656,16968009042,17580585806,18441166540,19261972724,19735576828,20686672055,21628591482,21409285362,22769778448,23283515368
Eswatini,SWZ,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,4106770614,4181302877,4001336224,4101293055,4124544911,4576804669,4780125468,4881994032,5074397095,5304557538,5659615089,5964528774,6011251742,6120408030,6199042950,6114088496,5975928314,6290829795,6370066524,6260406593,6329110627,6686872136,6330908700
Ethiopia,ETH,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,..,..,..,..,..,..,..,..,..,..,..,95642630023,98910777583,1.09E+11,1.16E+11,1.27E+11,1.32E+11,1.44E+11,1.47E+11,1.68E+11,1.81E+11,1.97E+11,2.08E+11
Faroe Islands,FRO,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Fiji,FJI,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7214698824,..,..,..,..,..
Finland,FIN,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,91923962722,94390025938,96749291141,1.01E+11,1.05E+11,1.08E+11,1.12E+11,1.16E+11,1.18E+11,1.15E+11,1.18E+11,1.22E+11,1.22E+11,1.22E+11,1.22E+11,1.24E+11,1.27E+11,1.28E+11,1.30E+11,1.31E+11,1.26E+11,1.31E+11,1.32E+11
France,FRA,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,1.15E+12,1.18E+12,1.20E+12,1.22E+12,1.25E+12,1.28E+12,1.30E+12,1.34E+12,1.35E+12,1.35E+12,1.37E+12,1.38E+12,1.38E+12,1.38E+12,1.40E+12,1.42E+12,1.44E+12,1.46E+12,1.48E+12,1.50E+12,1.40E+12,1.48E+12,1.51E+12
French Polynesia,PYF,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gabon,GAB,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,5522389134,5506063718,5624341709,5640180437,5798675600,6089289860,6465558831,6697185653,6917156745,7264033209,7809494926,8373021939,8893907634,9618850045,10151734338,10567955445,10811018421,10856424698,10812999000,10915237527,10696932776,10543723974,10510231786
Gambia The,GMB,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,..,..,..,..,3059221731,3079701086,2966219135,3187264700,3465520948,3605494551,3850025615,3292198412,3445305792,3575903590,3593788657,3624756913,3644864393,3992174788,4379322159,4555928399,4511738230,4670071557,4824181534
